bar,beer,date,startquantity,endquantity
"Absent Snow","North Beach Ale",2018-10-09,225,215
"Regular Drum Tavern","Deviator Doppelbock",2018-10-14,133,120
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-13,144,133
"Clever Child","Cauldron Brew",2018-10-16,223,209
"Unusual Truffle","Kirner Pils Premium",2018-10-21,180,167
"Twelve Spider Inn","Hopportunity Knocks",2018-10-17,184,170
"Blue City","The Captain's Porter",2018-10-22,169,157
"New Spider Bar","Hopportunity Knocks",2018-10-17,182,170
"Loud Elderberry Bar","Schinderhannes Bock",2018-10-20,235,225
"Molten Ants Bar","Grey Whale Ale",2018-10-09,225,214
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-18,218,205
"Clever Child","Cauldron Brew",2018-10-17,255,242
"Crooked Sailor Ale House","Caldera Ginger Beer",2018-10-20,165,154
"Gifted Zebra Tavern","Dry Hop Red",2018-10-16,222,211
"Impossible Fire","Amstel Lentebock",2018-10-17,181,171
Anchor,"Amstel Bock",2018-10-13,220,205
"Quickest Doves","Orca Porter",2018-10-09,250,239
"Hidden Lady Parlor","Code Blue",2018-10-19,192,181
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-14,232,218
"Shouting Snake Inn",Hefeweizen,2018-10-11,225,211
"Absent Snow","North Beach Ale",2018-10-10,215,205
"Naughty Bean Inn","Hopportunity Knocks",2018-10-13,173,160
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-09,250,238
"Chinese Oak","Cauldron Espresso Stout",2018-10-11,154,139
"Deep Glass Bar","Orca Porter",2018-10-11,227,217
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-15,159,146
"Tasty Fairy Tavern","Amstel Gold",2018-10-13,144,131
Anchor,"Amstel Bock",2018-10-14,205,192
"Sore Head","Amstel Bright",2018-10-16,214,202
"Crooked Sailor Ale House","Caldera Ginger Beer",2018-10-21,180,167
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-15,235,225
"Atomic Liquors","Nut Brown",2018-10-19,245,235
"Dramatic Crabs","Southside Strong",2018-10-18,155,144
"Loud Elderberry Bar","Schinderhannes Bock",2018-10-21,256,245
"Clever Child","Cauldron Brew",2018-10-18,242,228
"Scared Crossbow Tavern","Celebration Ale",2018-10-09,175,162
"New Spider Bar","Hopportunity Knocks",2018-10-18,170,157
"Unusual Truffle","Kirner Pils Premium",2018-10-22,167,152
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-13,171,156
"Poor Bats Inn","Hop Hash",2018-10-19,129,118
"Windy Harp","Viven Porter",2018-10-11,175,161
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-16,194,179
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-19,205,191
"Quickest Doves","Orca Porter",2018-10-10,239,227
"Spirited Brew Saloon","Cauldron DIPA",2018-10-20,168,157
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-14,133,119
"Jaded Pants Pub","Blue Whale Ale",2018-10-13,195,185
"Sudden Octopus","Leviathan Imperial Stout",2018-10-09,225,214
"Iron Tigress Inn","Amstel Malt",2018-10-21,159,145
"Molten Ants Bar","Grey Whale Ale",2018-10-10,214,203
"Regular Drum Tavern","Deviator Doppelbock",2018-10-15,157,143
"Impossible Fire","Amstel Lentebock",2018-10-18,205,192
"Gifted Zebra Tavern","Dry Hop Red",2018-10-17,211,200
"Blue City","Viven Porter",2018-10-09,250,240
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-10,185,172
"Twelve Spider Inn","Hopportunity Knocks",2018-10-18,170,160
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-15,256,242
"Hidden Lady Parlor","Code Blue",2018-10-20,181,167
"Shouting Snake Inn",Hefeweizen,2018-10-12,211,196
"Absent Snow","North Beach Ale",2018-10-11,205,195
"Naughty Bean Inn","Hopportunity Knocks",2018-10-14,160,147
"Chinese Oak","Cauldron Espresso Stout",2018-10-12,180,167
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-10,238,225
"Deep Glass Bar","Orca Porter",2018-10-12,255,241
"Tasty Fairy Tavern","Amstel Gold",2018-10-14,131,117
"Absent Snow","North Beach Ale",2018-10-12,195,183
"Naughty Bean Inn","Hopportunity Knocks",2018-10-15,185,175
"Latino Magpie","Amstel Bright",2018-10-15,131,118
"Sore Head","Amstel Bright",2018-10-17,256,244
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-14,156,141
"Chinese Oak","Cauldron Espresso Stout",2018-10-13,167,155
"Shouting Snake Inn",Hefeweizen,2018-10-13,257,243
"Clever Child","Cauldron Brew",2018-10-19,228,217
Anchor,"Amstel Bock",2018-10-15,235,222
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-16,146,134
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-16,225,210
"Atomic Liquors","Nut Brown",2018-10-20,235,222
"Famous Tiger Pub","Lawnmower Lager",2018-10-21,260,250
"Crooked Sailor Ale House","Caldera Ginger Beer",2018-10-22,167,157
"Sudden Octopus","Leviathan Imperial Stout",2018-10-10,214,201
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-17,179,165
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-15,157,146
"Iron Tigress Inn","Amstel Malt",2018-10-22,145,134
"Poor Bats Inn","Hop Hash",2018-10-20,118,104
"Regular Drum Tavern","Deviator Doppelbock",2018-10-16,143,131
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-11,172,158
"Gifted Zebra Tavern","Dry Hop Red",2018-10-18,232,221
"Hidden Lady Parlor","Code Blue",2018-10-21,207,193
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-20,191,180
"Impossible Fire","Amstel Lentebock",2018-10-19,192,179
"Scared Crossbow Tavern","Celebration Ale",2018-10-10,162,150
"Quickest Doves","Orca Porter",2018-10-11,227,214
"New Spider Bar","Hopportunity Knocks",2018-10-19,157,145
"Dramatic Crabs","Southside Strong",2018-10-19,144,134
"Twelve Spider Inn","Hopportunity Knocks",2018-10-19,160,148
"Loud Elderberry Bar","Schinderhannes Bock",2018-10-22,245,231
"Windy Harp","Viven Porter",2018-10-12,161,147
"Spirited Brew Saloon","Cauldron DIPA",2018-10-21,208,193
"Unusual Truffle","Pilot Rock Porter",2018-10-09,200,190
"Blue City","Viven Porter",2018-10-10,240,230
"Molten Ants Bar","Grey Whale Ale",2018-10-11,203,193
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-16,242,232
"Jaded Pants Pub","Blue Whale Ale",2018-10-14,185,173
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-11,225,214
"Deep Glass Bar","Orca Porter",2018-10-13,241,226
"Absent Snow","North Beach Ale",2018-10-13,232,221
"Tasty Fairy Tavern","Amstel Gold",2018-10-15,158,147
"Shouting Snake Inn",Hefeweizen,2018-10-14,243,230
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-17,185,174
"Latino Magpie","Amstel Bright",2018-10-16,118,104
"Chinese Oak","Cauldron Espresso Stout",2018-10-14,155,145
"Clever Child","Cauldron Brew",2018-10-20,217,202
"Naughty Bean Inn","Hopportunity Knocks",2018-10-16,175,164
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-17,258,247
Anchor,"Amstel Bock",2018-10-16,222,209
"Famous Tiger Pub","Lawnmower Lager",2018-10-22,250,240
"Sore Head","Amstel Bright",2018-10-18,244,230
"Daily Barracuda Inn","Southside Strong",2018-10-09,225,211
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-15,180,169
"Sudden Octopus","Leviathan Imperial Stout",2018-10-11,201,187
"Atomic Liquors","Nut Brown",2018-10-21,260,248
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-18,207,195
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-16,146,131
"Regular Drum Tavern","Deviator Doppelbock",2018-10-17,131,121
"Iron Tigress Inn","Hop Hash",2018-10-09,200,187
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-12,158,144
"Poor Bats Inn","Hop Hash",2018-10-21,156,146
"Impossible Fire","Amstel Lentebock",2018-10-20,179,164
"Scared Crossbow Tavern","Celebration Ale",2018-10-11,150,138
"Quickest Doves","Orca Porter",2018-10-12,256,242
"Gifted Zebra Tavern","Dry Hop Red",2018-10-19,221,208
"Hidden Lady Parlor","Code Blue",2018-10-22,193,183
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-21,233,221
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-09,200,188
"Windy Harp","Viven Porter",2018-10-13,205,193
"New Spider Bar","Hopportunity Knocks",2018-10-20,145,134
"Twelve Spider Inn","Hopportunity Knocks",2018-10-20,148,133
"Dramatic Crabs","Southside Strong",2018-10-20,134,120
"Spirited Brew Saloon","Cauldron DIPA",2018-10-22,193,183
"Blue City","Viven Porter",2018-10-11,230,215
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-12,258,243
"Jaded Pants Pub","Blue Whale Ale",2018-10-15,205,195
"Unusual Truffle","Pilot Rock Porter",2018-10-10,190,178
"Molten Ants Bar","Grey Whale Ale",2018-10-12,193,181
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-17,232,220
"Deep Glass Bar","Orca Porter",2018-10-14,226,213
"Tasty Fairy Tavern","Amstel Gold",2018-10-16,147,137
"Absent Snow","North Beach Ale",2018-10-14,221,207
"Shouting Snake Inn",Hefeweizen,2018-10-15,230,216
"Clever Child","Cauldron Brew",2018-10-21,257,246
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-18,174,161
"Latino Magpie","Amstel Bright",2018-10-17,157,144
"Chinese Oak","Cauldron Espresso Stout",2018-10-15,180,166
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-18,247,236
"Naughty Bean Inn","Hopportunity Knocks",2018-10-17,164,150
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-09,250,237
Anchor,"Amstel Bock",2018-10-17,209,197
"Daily Barracuda Inn","Southside Strong",2018-10-10,211,198
"Atomic Liquors","Nut Brown",2018-10-22,248,233
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-16,169,156
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-17,131,116
"Sore Head","Amstel Bright",2018-10-19,230,220
"Sudden Octopus","Leviathan Imperial Stout",2018-10-12,234,224
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-19,195,180
"Dramatic Crabs","Southside Strong",2018-10-21,157,145
"Regular Drum Tavern","Deviator Doppelbock",2018-10-18,159,148
"Impossible Fire","Amstel Lentebock",2018-10-21,205,191
"Quickest Doves","Orca Porter",2018-10-13,242,232
"Gifted Zebra Tavern","Dry Hop Red",2018-10-20,208,193
"Iron Tigress Inn","Hop Hash",2018-10-10,187,174
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-22,221,207
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-13,205,194
"Hidden Lady Parlor","Inspiration Ale",2018-10-09,225,213
"Poor Bats Inn","Hop Hash",2018-10-22,146,136
"Blue City","Viven Porter",2018-10-12,260,250
"Twelve Spider Inn","Hopportunity Knocks",2018-10-21,184,170
"Windy Harp","Viven Porter",2018-10-14,193,183
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-09,175,160
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-10,188,175
"Deep Glass Bar","Orca Porter",2018-10-15,256,242
"Scared Crossbow Tavern","Celebration Ale",2018-10-12,138,123
"New Spider Bar","Hopportunity Knocks",2018-10-21,182,170
"Jaded Pants Pub","Blue Whale Ale",2018-10-16,195,180
"Unusual Truffle","Pilot Rock Porter",2018-10-11,178,165
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-13,243,231
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-18,255,245
"Molten Ants Bar","Grey Whale Ale",2018-10-13,235,224
"Absent Snow","North Beach Ale",2018-10-15,207,193
"Tasty Fairy Tavern","Amstel Gold",2018-10-17,137,122
"Clever Child","Cauldron Brew",2018-10-22,246,235
"Latino Magpie","Amstel Bright",2018-10-18,144,132
"Chinese Oak","Cauldron Espresso Stout",2018-10-16,166,155
"Daily Barracuda Inn","Southside Strong",2018-10-11,198,186
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-10,237,223
"Naughty Bean Inn","Hopportunity Knocks",2018-10-18,181,168
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-19,161,151
Anchor,"Amstel Bock",2018-10-18,233,220
"Shouting Snake Inn",Hefeweizen,2018-10-16,216,206
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-19,236,222
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-17,156,142
"Atomic Liquors","North Beach Ale",2018-10-09,175,164
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-18,156,141
"Sudden Octopus","Leviathan Imperial Stout",2018-10-13,224,212
"Deep Glass Bar","Orca Porter",2018-10-16,242,232
"Impossible Fire","Amstel Lentebock",2018-10-22,191,177
"Hidden Lady Parlor","Inspiration Ale",2018-10-10,213,199
"Twelve Spider Inn","Hopportunity Knocks",2018-10-22,170,158
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-09,175,162
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-20,180,168
"Rusty Sailor Outpost","Emerald Ale",2018-10-09,175,165
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-11,175,162
"New Spider Bar","Hopportunity Knocks",2018-10-22,170,158
"Tasty Fairy Tavern","Amstel Gold",2018-10-18,160,150
"Absent Snow","North Beach Ale",2018-10-16,193,181
"Sore Head","Amstel Bright",2018-10-20,220,205
"Regular Drum Tavern","Deviator Doppelbock",2018-10-19,148,138
"Windy Harp","Viven Porter",2018-10-15,183,172
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-14,231,219
"Gifted Zebra Tavern","Dry Hop Red",2018-10-21,231,217
"Dramatic Crabs","Southside Strong",2018-10-22,145,130
"Unusual Truffle","Pilot Rock Porter",2018-10-12,209,195
"Blue City","Viven Porter",2018-10-13,250,235
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-14,194,180
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-19,245,232
"Jaded Pants Pub","Blue Whale Ale",2018-10-17,180,166
"Quickest Doves","Orca Porter",2018-10-14,232,222
"Iron Tigress Inn","Hop Hash",2018-10-11,174,160
"Molten Ants Bar","Grey Whale Ale",2018-10-14,224,209
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-10,160,147
"Scared Crossbow Tavern","Celebration Ale",2018-10-13,181,168
"Clever Child","Killer Whale Stout",2018-10-09,200,185
"Chinese Oak","Cauldron Espresso Stout",2018-10-17,155,143
"Shouting Snake Inn",Hefeweizen,2018-10-17,258,244
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-20,222,207
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-20,151,136
"Latino Magpie","Amstel Bright",2018-10-19,132,120
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-11,223,210
"Daily Barracuda Inn","Southside Strong",2018-10-12,235,221
Anchor,"Amstel Bock",2018-10-19,220,207
"Naughty Bean Inn","Hopportunity Knocks",2018-10-19,168,154
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-19,141,127
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-18,180,169
"Sudden Octopus","Leviathan Imperial Stout",2018-10-14,212,201
"Atomic Liquors","North Beach Ale",2018-10-10,164,150
"Deep Glass Bar","Orca Porter",2018-10-17,232,220
"Impossible Fire","Viven Porter",2018-10-09,250,237
"Hidden Lady Parlor","Inspiration Ale",2018-10-11,199,187
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-10,162,150
"Twelve Spider Inn","Viven Porter",2018-10-09,175,161
"Tasty Fairy Tavern","Amstel Gold",2018-10-19,150,140
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-21,208,196
"Absent Snow","North Beach Ale",2018-10-17,230,218
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-12,207,193
"Gifted Zebra Tavern","Dry Hop Red",2018-10-22,217,207
"Jaded Pants Pub","Blue Whale Ale",2018-10-18,205,190
"Clever Child","Killer Whale Stout",2018-10-10,185,171
"Blue City","Viven Porter",2018-10-14,235,223
"Unusual Truffle","Pilot Rock Porter",2018-10-13,195,180
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-20,232,222
"Rusty Sailor Outpost","Emerald Ale",2018-10-10,165,152
"Sore Head","Amstel Bright",2018-10-21,256,244
"Quickest Doves","Orca Porter",2018-10-15,257,247
"New Spider Bar","Deviator Doppelbock",2018-10-09,250,240
"Scared Crossbow Tavern","Celebration Ale",2018-10-14,168,158
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-11,147,136
"Iron Tigress Inn","Hop Hash",2018-10-12,205,191
"Dramatic Crabs","Viven Porter",2018-10-09,225,213
"Regular Drum Tavern","Deviator Doppelbock",2018-10-20,138,126
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-15,257,242
"Windy Harp","Viven Porter",2018-10-16,172,162
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-15,180,169
"Molten Ants Bar","Grey Whale Ale",2018-10-15,209,198
"Shouting Snake Inn",Hefeweizen,2018-10-18,244,233
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-21,259,245
"Chinese Oak","Cauldron Espresso Stout",2018-10-18,182,169
"Naughty Bean Inn","Hopportunity Knocks",2018-10-20,154,140
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-21,185,170
Anchor,"Amstel Bock",2018-10-20,207,195
"Latino Magpie","Amstel Bright",2018-10-20,120,105
"Daily Barracuda Inn","Southside Strong",2018-10-13,221,209
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-12,210,195
"Deep Glass Bar","Orca Porter",2018-10-18,257,247
"Tasty Fairy Tavern","Amstel Gold",2018-10-20,140,128
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-20,127,114
"Absent Snow","North Beach Ale",2018-10-18,218,204
"Sudden Octopus","Leviathan Imperial Stout",2018-10-15,230,215
"Atomic Liquors","North Beach Ale",2018-10-11,150,135
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-19,169,156
"Impossible Fire","Viven Porter",2018-10-10,237,224
"Clever Child","Killer Whale Stout",2018-10-11,171,158
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-11,150,137
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-22,196,184
"Hidden Lady Parlor","Inspiration Ale",2018-10-12,235,225
"Twelve Spider Inn","Viven Porter",2018-10-10,161,151
"Gifted Zebra Tavern",Megalodon,2018-10-09,250,237
"Blue City","Viven Porter",2018-10-15,256,243
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-13,193,183
"Jaded Pants Pub","Blue Whale Ale",2018-10-19,190,176
"Dramatic Crabs","Viven Porter",2018-10-10,213,202
"Rusty Sailor Outpost","Emerald Ale",2018-10-11,152,138
"Regular Drum Tavern","Deviator Doppelbock",2018-10-21,155,144
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-16,169,154
"Scared Crossbow Tavern","Celebration Ale",2018-10-15,158,144
"Unusual Truffle","Pilot Rock Porter",2018-10-14,180,169
"Quickest Doves","Orca Porter",2018-10-16,247,233
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-22,245,233
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-16,242,228
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-21,255,244
"Shouting Snake Inn",Hefeweizen,2018-10-19,233,222
"Iron Tigress Inn","Hop Hash",2018-10-13,191,178
"Chinese Oak","Cauldron Espresso Stout",2018-10-19,169,159
"New Spider Bar","Deviator Doppelbock",2018-10-10,240,230
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-12,182,169
"Sore Head","Amstel Bright",2018-10-22,244,230
"Molten Ants Bar","Grey Whale Ale",2018-10-16,198,186
"Windy Harp","Viven Porter",2018-10-17,208,193
"Naughty Bean Inn","Hopportunity Knocks",2018-10-21,182,167
Anchor,"Amstel Bock",2018-10-21,233,221
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-22,170,160
"Tasty Fairy Tavern","Amstel Gold",2018-10-21,157,143
"Latino Magpie","Amstel Bright",2018-10-21,156,144
"Daily Barracuda Inn","Southside Strong",2018-10-14,209,199
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-13,258,243
"Deep Glass Bar","Orca Porter",2018-10-19,247,236
"Absent Snow","North Beach Ale",2018-10-19,204,192
"Clever Child","Killer Whale Stout",2018-10-12,158,146
"Sudden Octopus","Leviathan Imperial Stout",2018-10-16,215,204
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-20,156,143
"Peaceful Bison","Grey Whale Ale",2018-10-09,200,187
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-21,156,145
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-12,137,126
"Impossible Fire","Viven Porter",2018-10-11,224,214
"Atomic Liquors","North Beach Ale",2018-10-12,135,121
"Hidden Lady Parlor","Inspiration Ale",2018-10-13,225,215
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-09,225,213
"Blue City","Viven Porter",2018-10-16,243,233
"Twelve Spider Inn","Viven Porter",2018-10-11,151,136
"Chinese Oak","Cauldron Espresso Stout",2018-10-20,159,147
"Shouting Snake Inn",Hefeweizen,2018-10-20,222,209
"Jaded Pants Pub","Blue Whale Ale",2018-10-20,176,165
"Gifted Zebra Tavern",Megalodon,2018-10-10,237,225
"Rusty Sailor Outpost","Emerald Ale",2018-10-12,138,125
"Regular Drum Tavern","Deviator Doppelbock",2018-10-22,144,129
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-14,183,172
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-17,210,198
"Scared Crossbow Tavern","Celebration Ale",2018-10-16,144,132
"Quickest Doves","Orca Porter",2018-10-17,233,223
"Unusual Truffle","Pilot Rock Porter",2018-10-15,207,195
"Dramatic Crabs","Viven Porter",2018-10-11,202,192
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-13,169,158
"New Spider Bar","Deviator Doppelbock",2018-10-11,230,216
"Iron Tigress Inn","Hop Hash",2018-10-14,178,167
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-17,228,213
"Sore Head","Holiday Ale",2018-10-09,175,162
"Molten Ants Bar","Grey Whale Ale",2018-10-17,233,219
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-22,244,229
"Windy Harp","Viven Porter",2018-10-18,193,182
"Discreet Elderberry Pub","Amstel Gold",2018-10-09,150,135
Anchor,"Amstel Bock",2018-10-22,221,207
"Naughty Bean Inn","Hopportunity Knocks",2018-10-22,167,152
"Tasty Fairy Tavern","Amstel Gold",2018-10-22,143,129
"Latino Magpie","Amstel Bright",2018-10-22,144,130
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-14,243,232
"Daily Barracuda Inn","Southside Strong",2018-10-15,233,223
"Deep Glass Bar","Orca Porter",2018-10-20,236,224
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-22,145,135
"Peaceful Bison","Grey Whale Ale",2018-10-10,187,176
"Clever Child","Killer Whale Stout",2018-10-13,206,194
"Absent Snow","North Beach Ale",2018-10-20,192,179
"Sudden Octopus","Leviathan Imperial Stout",2018-10-17,204,193
"Impossible Fire","Viven Porter",2018-10-12,214,199
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-10,213,201
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-13,181,168
"Hidden Lady Parlor","Inspiration Ale",2018-10-14,215,204
"Atomic Liquors","North Beach Ale",2018-10-13,180,167
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-21,185,171
"Chinese Oak","Cauldron Espresso Stout",2018-10-21,180,165
"Shouting Snake Inn",Hefeweizen,2018-10-21,255,240
"Blue City","Viven Porter",2018-10-17,233,223
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-15,208,193
"Gifted Zebra Tavern",Megalodon,2018-10-11,225,212
"Unusual Truffle","Pilot Rock Porter",2018-10-16,195,180
"Scared Crossbow Tavern","Celebration Ale",2018-10-17,183,171
"Dramatic Crabs","Viven Porter",2018-10-12,192,180
"Rusty Sailor Outpost","Emerald Ale",2018-10-13,184,174
"Quickest Doves","Orca Porter",2018-10-18,255,242
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-14,158,145
"Responsible Chair","Amstel Gold",2018-10-09,250,240
"Jaded Pants Pub","Blue Whale Ale",2018-10-21,206,193
"Twelve Spider Inn","Viven Porter",2018-10-12,136,123
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-18,198,187
"New Spider Bar","Deviator Doppelbock",2018-10-12,260,250
"Discreet Elderberry Pub","Amstel Gold",2018-10-10,135,122
"Tasty Fairy Tavern","Hop Hash",2018-10-09,150,140
Anchor,"St. Stephen's Bock",2018-10-09,150,137
"Sore Head","Holiday Ale",2018-10-10,162,150
"Iron Tigress Inn","Hop Hash",2018-10-15,205,195
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-18,259,247
"Molten Ants Bar","Grey Whale Ale",2018-10-18,219,207
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-09,150,139
"Windy Harp","Viven Porter",2018-10-19,182,170
"Naughty Bean Inn","Honey Fayre",2018-10-09,150,140
"Laughing Elephant Tavern","Red Moon",2018-10-09,225,213
"Foamy Cave","Holiday Ale",2018-10-09,250,235
"Deep Glass Bar","Orca Porter",2018-10-21,258,244
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-15,232,217
