bar,day,start,end,date
"Courageous Lyre Bar",Tuesday,11:00,22:00,2018-10-09
"Courageous Lyre Bar",Wednesday,09:00,22:45,2018-10-10
"Courageous Lyre Bar",Thursday,08:00,23:15,2018-10-11
"Courageous Lyre Bar",Friday,09:00,22:00,2018-10-12
"Courageous Lyre Bar",Sunday,11:00,22:30,2018-10-14
"Courageous Lyre Bar",Saturday,08:00,22:00,2018-10-13
"Courageous Melon",Monday,08:00,23:00,2018-10-15
"Courageous Melon",Tuesday,10:00,22:30,2018-10-09
"Courageous Melon",Wednesday,11:00,23:30,2018-10-10
"Courageous Melon",Thursday,10:00,23:15,2018-10-11
"Courageous Melon",Friday,09:00,22:45,2018-10-12
"Courageous Melon",Sunday,12:00,22:00,2018-10-14
"Courageous Melon",Saturday,08:00,23:00,2018-10-13
"Crooked Sailor Ale House",Monday,09:00,23:00,2018-10-15
"Crooked Sailor Ale House",Tuesday,10:00,23:45,2018-10-09
"Crooked Sailor Ale House",Wednesday,11:00,22:15,2018-10-10
"Crooked Sailor Ale House",Thursday,12:00,23:45,2018-10-11
"Crooked Sailor Ale House",Friday,12:00,23:45,2018-10-12
"Crooked Sailor Ale House",Sunday,12:00,22:45,2018-10-14
"Crooked Sailor Ale House",Saturday,08:00,23:15,2018-10-13
"Daily Barracuda Inn",Monday,11:00,22:30,2018-10-15
"Daily Barracuda Inn",Tuesday,10:00,23:45,2018-10-09
"Daily Barracuda Inn",Wednesday,10:00,23:15,2018-10-10
"Daily Barracuda Inn",Thursday,08:00,23:45,2018-10-11
"Daily Barracuda Inn",Friday,12:00,22:15,2018-10-12
"Daily Barracuda Inn",Sunday,12:00,22:30,2018-10-14
"Daily Barracuda Inn",Saturday,12:00,22:15,2018-10-13
"Dandy Cloud Bistro",Monday,09:00,22:30,2018-10-15
"Dandy Cloud Bistro",Tuesday,11:00,22:30,2018-10-09
"Dandy Cloud Bistro",Wednesday,10:00,23:30,2018-10-10
"Dandy Cloud Bistro",Thursday,09:00,22:30,2018-10-11
"Dandy Cloud Bistro",Friday,10:00,22:00,2018-10-12
"Dandy Cloud Bistro",Sunday,10:00,22:00,2018-10-14
"Dandy Cloud Bistro",Saturday,12:00,22:30,2018-10-13
"Deep Flute Bar",Monday,12:00,23:15,2018-10-15
"Deep Flute Bar",Tuesday,11:00,22:00,2018-10-09
"Deep Flute Bar",Wednesday,11:00,22:45,2018-10-10
"Deep Flute Bar",Thursday,12:00,23:45,2018-10-11
"Deep Flute Bar",Friday,10:00,23:45,2018-10-12
"Deep Flute Bar",Sunday,09:00,23:30,2018-10-14
"Deep Flute Bar",Saturday,08:00,22:30,2018-10-13
"Deep Glass Bar",Monday,08:00,22:00,2018-10-15
"Deep Glass Bar",Tuesday,10:00,23:15,2018-10-09
"Deep Glass Bar",Wednesday,08:00,22:30,2018-10-10
"Deep Glass Bar",Thursday,08:00,23:30,2018-10-11
"Deep Glass Bar",Friday,09:00,23:45,2018-10-12
"Deep Glass Bar",Sunday,11:00,22:15,2018-10-14
"Deep Glass Bar",Saturday,11:00,23:30,2018-10-13
"Deep Lantern",Monday,08:00,23:15,2018-10-15
"Deep Lantern",Tuesday,11:00,23:30,2018-10-09
"Deep Lantern",Wednesday,09:00,23:30,2018-10-10
"Deep Lantern",Thursday,11:00,22:30,2018-10-11
"Deep Lantern",Friday,11:00,23:00,2018-10-12
"Deep Lantern",Sunday,11:00,23:15,2018-10-14
"Deep Lantern",Saturday,11:00,23:30,2018-10-13
"Diamond Turtle Inn",Monday,12:00,23:30,2018-10-15
"Diamond Turtle Inn",Tuesday,11:00,22:00,2018-10-09
"Diamond Turtle Inn",Wednesday,11:00,23:15,2018-10-10
"Diamond Turtle Inn",Thursday,09:00,23:15,2018-10-11
"Diamond Turtle Inn",Friday,10:00,22:00,2018-10-12
"Diamond Turtle Inn",Sunday,11:00,23:45,2018-10-14
"Diamond Turtle Inn",Saturday,08:00,23:15,2018-10-13
"Different Kumquat Pub",Monday,12:00,22:45,2018-10-15
"Different Kumquat Pub",Tuesday,11:00,23:00,2018-10-09
"Different Kumquat Pub",Wednesday,11:00,22:00,2018-10-10
"Different Kumquat Pub",Thursday,11:00,23:45,2018-10-11
"Different Kumquat Pub",Friday,09:00,22:45,2018-10-12
"Different Kumquat Pub",Sunday,09:00,22:45,2018-10-14
"Different Kumquat Pub",Saturday,11:00,22:00,2018-10-13
"Discreet Elderberry Pub",Monday,09:00,22:00,2018-10-15
"Discreet Elderberry Pub",Tuesday,10:00,22:30,2018-10-09
"Discreet Elderberry Pub",Wednesday,11:00,23:45,2018-10-10
"Discreet Elderberry Pub",Thursday,12:00,23:45,2018-10-11
"Discreet Elderberry Pub",Friday,10:00,22:45,2018-10-12
"Discreet Elderberry Pub",Sunday,11:00,23:45,2018-10-14
"Discreet Elderberry Pub",Saturday,08:00,22:15,2018-10-13
"Dizzy Lemon Lounge",Monday,09:00,23:00,2018-10-15
"Dizzy Lemon Lounge",Tuesday,09:00,23:15,2018-10-09
"Dizzy Lemon Lounge",Wednesday,08:00,22:15,2018-10-10
"Dizzy Lemon Lounge",Thursday,09:00,23:45,2018-10-11
"Dizzy Lemon Lounge",Friday,10:00,22:45,2018-10-12
"Dizzy Lemon Lounge",Sunday,09:00,22:30,2018-10-14
"Dizzy Lemon Lounge",Saturday,11:00,23:45,2018-10-13
"Double Swan Tavern",Monday,09:00,23:30,2018-10-15
"Double Swan Tavern",Tuesday,11:00,23:00,2018-10-09
"Double Swan Tavern",Wednesday,10:00,23:30,2018-10-10
"Double Swan Tavern",Thursday,11:00,23:45,2018-10-11
"Double Swan Tavern",Friday,08:00,23:45,2018-10-12
"Double Swan Tavern",Sunday,12:00,22:00,2018-10-14
"Double Swan Tavern",Saturday,12:00,23:30,2018-10-13
"Drab Parrots Pub",Monday,10:00,23:00,2018-10-15
"Drab Parrots Pub",Tuesday,12:00,22:45,2018-10-09
"Drab Parrots Pub",Wednesday,10:00,23:15,2018-10-10
"Drab Parrots Pub",Thursday,10:00,23:00,2018-10-11
"Drab Parrots Pub",Friday,12:00,22:30,2018-10-12
"Drab Parrots Pub",Sunday,12:00,22:45,2018-10-14
"Drab Parrots Pub",Saturday,10:00,23:00,2018-10-13
"Dramatic Crabs",Monday,10:00,23:45,2018-10-15
"Dramatic Crabs",Tuesday,08:00,23:45,2018-10-09
"Dramatic Crabs",Wednesday,12:00,22:30,2018-10-10
"Dramatic Crabs",Thursday,11:00,22:15,2018-10-11
"Dramatic Crabs",Friday,12:00,23:15,2018-10-12
"Dramatic Crabs",Sunday,10:00,23:45,2018-10-14
"Dramatic Crabs",Saturday,10:00,22:15,2018-10-13
"Earthy Bird Pub",Monday,08:00,23:30,2018-10-15
"Earthy Bird Pub",Tuesday,10:00,23:15,2018-10-09
"Earthy Bird Pub",Wednesday,12:00,22:45,2018-10-10
"Earthy Bird Pub",Thursday,10:00,22:00,2018-10-11
"Earthy Bird Pub",Friday,09:00,23:15,2018-10-12
"Earthy Bird Pub",Sunday,11:00,23:15,2018-10-14
"Earthy Bird Pub",Saturday,11:00,23:45,2018-10-13
"Empty Snapdragon Pub",Monday,11:00,23:45,2018-10-15
"Empty Snapdragon Pub",Tuesday,10:00,22:00,2018-10-09
"Empty Snapdragon Pub",Wednesday,11:00,22:45,2018-10-10
"Empty Snapdragon Pub",Thursday,12:00,22:00,2018-10-11
"Empty Snapdragon Pub",Friday,10:00,22:15,2018-10-12
"Empty Snapdragon Pub",Sunday,10:00,22:30,2018-10-14
"Empty Snapdragon Pub",Saturday,08:00,22:30,2018-10-13
"Familiar Pony Tavern",Monday,10:00,22:15,2018-10-15
"Familiar Pony Tavern",Tuesday,11:00,23:00,2018-10-09
"Familiar Pony Tavern",Wednesday,08:00,23:00,2018-10-10
"Familiar Pony Tavern",Thursday,08:00,22:30,2018-10-11
"Familiar Pony Tavern",Friday,09:00,23:15,2018-10-12
"Familiar Pony Tavern",Sunday,09:00,22:30,2018-10-14
"Familiar Pony Tavern",Saturday,12:00,22:45,2018-10-13
"Famous Tiger Pub",Monday,11:00,23:30,2018-10-15
"Famous Tiger Pub",Tuesday,12:00,23:00,2018-10-09
"Famous Tiger Pub",Wednesday,08:00,22:15,2018-10-10
"Famous Tiger Pub",Thursday,09:00,23:45,2018-10-11
"Famous Tiger Pub",Friday,11:00,22:45,2018-10-12
"Famous Tiger Pub",Sunday,11:00,22:00,2018-10-14
"Famous Tiger Pub",Saturday,09:00,22:15,2018-10-13
"Fascinated Chick Pub",Monday,08:00,22:15,2018-10-15
"Fascinated Chick Pub",Tuesday,10:00,22:30,2018-10-09
"Fascinated Chick Pub",Wednesday,12:00,23:30,2018-10-10
"Fascinated Chick Pub",Thursday,10:00,23:45,2018-10-11
"Fascinated Chick Pub",Friday,12:00,23:45,2018-10-12
"Fascinated Chick Pub",Sunday,11:00,23:15,2018-10-14
"Fascinated Chick Pub",Saturday,10:00,22:30,2018-10-13
"Fascinated Demon Pub",Monday,11:00,23:45,2018-10-15
"Fascinated Demon Pub",Tuesday,10:00,22:15,2018-10-09
"Fascinated Demon Pub",Wednesday,08:00,23:15,2018-10-10
"Fascinated Demon Pub",Thursday,08:00,22:15,2018-10-11
"Fascinated Demon Pub",Friday,10:00,22:15,2018-10-12
"Fascinated Demon Pub",Sunday,11:00,23:00,2018-10-14
"Fascinated Demon Pub",Saturday,09:00,23:00,2018-10-13
"Fearless Drum Bar",Monday,08:00,22:45,2018-10-15
"Fearless Drum Bar",Tuesday,10:00,23:30,2018-10-09
"Fearless Drum Bar",Wednesday,10:00,23:00,2018-10-10
"Fearless Drum Bar",Thursday,12:00,22:15,2018-10-11
"Fearless Drum Bar",Friday,09:00,23:00,2018-10-12
"Fearless Drum Bar",Sunday,09:00,23:00,2018-10-14
"Fearless Drum Bar",Saturday,10:00,22:45,2018-10-13
"Fluffy Husband",Monday,08:00,22:30,2018-10-15
"Fluffy Husband",Tuesday,12:00,22:45,2018-10-09
"Fluffy Husband",Wednesday,10:00,22:15,2018-10-10
"Fluffy Husband",Thursday,08:00,23:45,2018-10-11
"Fluffy Husband",Friday,12:00,22:30,2018-10-12
"Fluffy Husband",Sunday,10:00,23:45,2018-10-14
"Fluffy Husband",Saturday,08:00,23:45,2018-10-13
"Foamy Cave",Monday,09:00,23:45,2018-10-15
"Foamy Cave",Tuesday,10:00,22:15,2018-10-09
"Foamy Cave",Wednesday,10:00,23:15,2018-10-10
"Foamy Cave",Thursday,08:00,23:45,2018-10-11
"Foamy Cave",Friday,11:00,23:15,2018-10-12
"Foamy Cave",Sunday,10:00,23:00,2018-10-14
"Foamy Cave",Saturday,12:00,23:15,2018-10-13
"Full Guitar",Monday,10:00,23:45,2018-10-15
"Full Guitar",Tuesday,09:00,23:15,2018-10-09
"Full Guitar",Wednesday,09:00,23:30,2018-10-10
"Full Guitar",Thursday,11:00,23:15,2018-10-11
"Full Guitar",Friday,09:00,22:30,2018-10-12
"Full Guitar",Sunday,11:00,23:30,2018-10-14
"Full Guitar",Saturday,08:00,22:45,2018-10-13
"Gifted Pillow Inn",Monday,08:00,23:30,2018-10-15
"Gifted Pillow Inn",Tuesday,08:00,22:00,2018-10-09
"Gifted Pillow Inn",Wednesday,12:00,23:00,2018-10-10
"Gifted Pillow Inn",Thursday,08:00,22:00,2018-10-11
"Gifted Pillow Inn",Friday,08:00,23:30,2018-10-12
"Gifted Pillow Inn",Sunday,08:00,23:30,2018-10-14
"Gifted Pillow Inn",Saturday,08:00,23:45,2018-10-13
"Gifted Zebra Tavern",Monday,10:00,22:30,2018-10-15
"Gifted Zebra Tavern",Tuesday,11:00,23:30,2018-10-09
"Gifted Zebra Tavern",Wednesday,11:00,23:45,2018-10-10
"Gifted Zebra Tavern",Thursday,12:00,23:30,2018-10-11
"Gifted Zebra Tavern",Friday,09:00,22:30,2018-10-12
"Gifted Zebra Tavern",Sunday,11:00,22:00,2018-10-14
"Gifted Zebra Tavern",Saturday,12:00,23:15,2018-10-13
"Gray City",Monday,10:00,23:15,2018-10-15
"Gray City",Tuesday,11:00,23:45,2018-10-09
"Gray City",Wednesday,09:00,22:15,2018-10-10
"Gray City",Thursday,12:00,23:45,2018-10-11
"Gray City",Friday,08:00,23:15,2018-10-12
"Gray City",Sunday,12:00,22:15,2018-10-14
"Gray City",Saturday,12:00,23:00,2018-10-13
"Gypsy Root Roadhouse",Monday,10:00,23:15,2018-10-15
"Gypsy Root Roadhouse",Tuesday,12:00,22:45,2018-10-09
"Gypsy Root Roadhouse",Wednesday,12:00,23:15,2018-10-10
"Gypsy Root Roadhouse",Thursday,12:00,22:45,2018-10-11
"Gypsy Root Roadhouse",Friday,08:00,22:15,2018-10-12
"Gypsy Root Roadhouse",Sunday,09:00,23:00,2018-10-14
"Gypsy Root Roadhouse",Saturday,12:00,23:15,2018-10-13
"Harsh Flame Tavern",Monday,08:00,22:15,2018-10-15
"Harsh Flame Tavern",Tuesday,08:00,22:15,2018-10-09
"Harsh Flame Tavern",Wednesday,08:00,22:15,2018-10-10
"Harsh Flame Tavern",Thursday,12:00,23:00,2018-10-11
"Harsh Flame Tavern",Friday,10:00,23:45,2018-10-12
"Harsh Flame Tavern",Sunday,10:00,23:00,2018-10-14
"Harsh Flame Tavern",Saturday,08:00,22:00,2018-10-13
"Hidden Lady Parlor",Monday,08:00,23:00,2018-10-15
"Hidden Lady Parlor",Tuesday,12:00,22:30,2018-10-09
"Hidden Lady Parlor",Wednesday,10:00,23:15,2018-10-10
"Hidden Lady Parlor",Thursday,08:00,22:15,2018-10-11
"Hidden Lady Parlor",Friday,11:00,22:15,2018-10-12
"Hidden Lady Parlor",Sunday,09:00,23:30,2018-10-14
"Hidden Lady Parlor",Saturday,12:00,22:00,2018-10-13
"Hidden Table Brewpub",Monday,08:00,22:45,2018-10-15
"Hidden Table Brewpub",Tuesday,11:00,23:30,2018-10-09
"Hidden Table Brewpub",Wednesday,10:00,22:30,2018-10-10
"Hidden Table Brewpub",Thursday,11:00,22:45,2018-10-11
"Hidden Table Brewpub",Friday,09:00,22:00,2018-10-12
"Hidden Table Brewpub",Sunday,08:00,22:00,2018-10-14
"Hidden Table Brewpub",Saturday,12:00,23:15,2018-10-13
"Hissing Ocean Bar",Monday,12:00,23:00,2018-10-15
"Hissing Ocean Bar",Tuesday,10:00,23:15,2018-10-09
"Hissing Ocean Bar",Wednesday,10:00,22:30,2018-10-10
"Hissing Ocean Bar",Thursday,08:00,23:15,2018-10-11
"Hissing Ocean Bar",Friday,08:00,23:15,2018-10-12
"Hissing Ocean Bar",Sunday,08:00,22:00,2018-10-14
"Hissing Ocean Bar",Saturday,08:00,22:45,2018-10-13
"Hoppy Apple Brewhouse",Monday,08:00,23:00,2018-10-15
"Hoppy Apple Brewhouse",Tuesday,08:00,22:45,2018-10-09
"Hoppy Apple Brewhouse",Wednesday,08:00,22:00,2018-10-10
"Hoppy Apple Brewhouse",Thursday,11:00,22:30,2018-10-11
"Hoppy Apple Brewhouse",Friday,09:00,22:15,2018-10-12
"Hoppy Apple Brewhouse",Sunday,11:00,23:15,2018-10-14
"Hoppy Apple Brewhouse",Saturday,09:00,22:15,2018-10-13
"Hot Cup Inn",Monday,09:00,22:00,2018-10-15
"Hot Cup Inn",Tuesday,11:00,23:45,2018-10-09
"Hot Cup Inn",Wednesday,12:00,23:15,2018-10-10
"Hot Cup Inn",Thursday,09:00,23:15,2018-10-11
"Hot Cup Inn",Friday,11:00,23:00,2018-10-12
"Hot Cup Inn",Sunday,11:00,22:00,2018-10-14
"Hot Cup Inn",Saturday,09:00,22:45,2018-10-13
"Hungry Skunks Bar",Monday,12:00,22:30,2018-10-15
"Hungry Skunks Bar",Tuesday,08:00,23:45,2018-10-09
"Hungry Skunks Bar",Wednesday,08:00,22:00,2018-10-10
"Hungry Skunks Bar",Thursday,10:00,23:15,2018-10-11
"Hungry Skunks Bar",Friday,09:00,23:00,2018-10-12
"Hungry Skunks Bar",Sunday,09:00,23:00,2018-10-14
"Hungry Skunks Bar",Saturday,10:00,22:00,2018-10-13
"Hungry Turtle Pub",Monday,10:00,23:30,2018-10-15
"Hungry Turtle Pub",Tuesday,10:00,22:45,2018-10-09
"Hungry Turtle Pub",Wednesday,08:00,23:15,2018-10-10
"Hungry Turtle Pub",Thursday,08:00,23:30,2018-10-11
"Hungry Turtle Pub",Friday,11:00,23:00,2018-10-12
"Hungry Turtle Pub",Sunday,11:00,23:30,2018-10-14
"Hungry Turtle Pub",Saturday,11:00,23:15,2018-10-13
"Hungry Vanilla Bean Tavern",Monday,09:00,22:30,2018-10-15
"Hungry Vanilla Bean Tavern",Tuesday,08:00,22:00,2018-10-09
"Hungry Vanilla Bean Tavern",Wednesday,12:00,23:15,2018-10-10
"Hungry Vanilla Bean Tavern",Thursday,09:00,22:45,2018-10-11
"Hungry Vanilla Bean Tavern",Friday,11:00,23:30,2018-10-12
"Hungry Vanilla Bean Tavern",Sunday,08:00,22:15,2018-10-14
"Hungry Vanilla Bean Tavern",Saturday,12:00,23:45,2018-10-13
"Hypnotic Gate Tavern",Monday,10:00,23:15,2018-10-15
"Hypnotic Gate Tavern",Tuesday,12:00,22:15,2018-10-09
"Hypnotic Gate Tavern",Wednesday,11:00,23:45,2018-10-10
"Hypnotic Gate Tavern",Thursday,12:00,23:30,2018-10-11
"Hypnotic Gate Tavern",Friday,08:00,23:30,2018-10-12
"Hypnotic Gate Tavern",Sunday,09:00,23:45,2018-10-14
"Hypnotic Gate Tavern",Saturday,12:00,23:15,2018-10-13
"Icky Elephants Tavern",Monday,11:00,23:45,2018-10-15
"Icky Elephants Tavern",Tuesday,09:00,23:30,2018-10-09
"Icky Elephants Tavern",Wednesday,09:00,22:00,2018-10-10
"Icky Elephants Tavern",Thursday,08:00,22:00,2018-10-11
"Icky Elephants Tavern",Friday,12:00,23:15,2018-10-12
"Icky Elephants Tavern",Sunday,11:00,23:30,2018-10-14
"Icky Elephants Tavern",Saturday,11:00,22:15,2018-10-13
"Impossible Fire",Monday,08:00,23:45,2018-10-15
"Impossible Fire",Tuesday,11:00,22:30,2018-10-09
"Impossible Fire",Wednesday,08:00,22:15,2018-10-10
"Impossible Fire",Thursday,11:00,22:15,2018-10-11
"Impossible Fire",Friday,09:00,23:30,2018-10-12
"Impossible Fire",Sunday,12:00,22:15,2018-10-14
"Impossible Fire",Saturday,12:00,22:45,2018-10-13
"Incredible Sailboat Pub",Monday,10:00,23:00,2018-10-15
"Incredible Sailboat Pub",Tuesday,08:00,22:15,2018-10-09
"Incredible Sailboat Pub",Wednesday,09:00,23:45,2018-10-10
"Incredible Sailboat Pub",Thursday,10:00,22:30,2018-10-11
"Incredible Sailboat Pub",Friday,09:00,23:30,2018-10-12
"Incredible Sailboat Pub",Sunday,09:00,23:00,2018-10-14
"Incredible Sailboat Pub",Saturday,09:00,22:15,2018-10-13
"Interesting Trumpet Inn",Monday,10:00,22:15,2018-10-15
"Interesting Trumpet Inn",Tuesday,11:00,23:15,2018-10-09
"Interesting Trumpet Inn",Wednesday,11:00,22:30,2018-10-10
"Interesting Trumpet Inn",Thursday,12:00,22:30,2018-10-11
"Interesting Trumpet Inn",Friday,11:00,23:15,2018-10-12
"Interesting Trumpet Inn",Sunday,12:00,22:15,2018-10-14
"Interesting Trumpet Inn",Saturday,09:00,22:30,2018-10-13
"Iron Library Tavern",Monday,10:00,23:15,2018-10-15
"Iron Library Tavern",Tuesday,08:00,22:15,2018-10-09
"Iron Library Tavern",Wednesday,09:00,22:00,2018-10-10
"Iron Library Tavern",Thursday,12:00,22:45,2018-10-11
"Iron Library Tavern",Friday,08:00,23:15,2018-10-12
